# Parameters
$ K = 4
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-3.1388704231847153e-01	-5.8007532071422552e-01	-1.0295021379602973e+00	-5.6678638108836465e-01	-3.7941940180808786e-01	-2.0910540390587132e-01	-3.0371451604886895e-01	-8.2438943857271851e-01	-1.6421021719736328e-01	2.2820995703575249e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.1104956028253289e-01	-5.7706531744524758e-01	-1.0313268432188589e+00	-5.6656576326012764e-01	-3.7601445286576135e-01	-2.0587448549242104e-01	-3.0011539862492198e-01	-8.2549886918331006e-01	-1.6392202335471628e-01	2.2764113090971687e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.0817979034768661e-01	-5.7400367358909776e-01	-1.0331044105064457e+00	-5.6634213427708646e-01	-3.7258707174162869e-01	-2.0262397277996452e-01	-2.9646573886221406e-01	-8.2658903885475610e-01	-1.6363833200978245e-01	2.2707575808308347e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.0527800597218935e-01	-5.7089111184901820e-01	-1.0348345162491699e+00	-5.6611597567456529e-01	-3.6913801443887595e-01	-1.9935441783142205e-01	-2.9276574331075444e-01	-8.2766006215074750e-01	-1.6335934609203259e-01	2.2651392330717046e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.0234448462934621e-01	-5.6772837728244507e-01	-1.0365168434044618e+00	-5.6588776357845549e-01	-3.6566804053815710e-01	-1.9606637923369913e-01	-2.8901563225202798e-01	-8.2871205023875860e-01	-1.6308526844496252e-01	2.2595571281977351e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.9937950780790729e-01	-5.6451623698707043e-01	-1.0381510813620327e+00	-5.6565796809370072e-01	-3.6217791286152912e-01	-1.9276042196528684e-01	-2.8521563991151416e-01	-8.2974511036293885e-01	-1.6281630176145773e-01	2.2540121436686036e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.9638336102733898e-01	-5.6125547977275381e-01	-1.0397369258424138e+00	-5.6542705268800775e-01	-3.5866839714599824e-01	-1.8943711726472895e-01	-2.8136601468058980e-01	-8.3075934531158524e-01	-1.6255264852007587e-01	2.2485051722431022e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.9335633386850152e-01	-5.5794691581949474e-01	-1.0412740787936126e+00	-5.6519547357098665e-01	-3.5514026172720342e-01	-1.8609704249990774e-01	-2.7746701934800289e-01	-8.3175485287968387e-01	-1.6229451092227501e-01	2.2430371221966765e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.9029872002019297e-01	-5.5459137632171696e-01	-1.0427622482864474e+00	-5.6496367906896694e-01	-3.5159427723375525e-01	-1.8274078103808555e-01	-2.7351893134108024e-01	-8.3273172532704964e-01	-1.6204209083061846e-01	2.2376089175387439e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.8721081734204157e-01	-5.5118971311906673e-01	-1.0442011484091107e+00	-5.6473210899567128e-01	-3.4803121629272404e-01	-1.7936892211660979e-01	-2.6952204297680676e-01	-8.3369004883260622e-01	-1.6179558970798785e-01	2.2322214982294688e+00
